order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit,month
2087,Kids,Basketball,Zoom Freak,,0.0,4656.28,0.0,0.0,,Online,kolkata,3777.5,
2088,Women,Running,Free RN,XL,4.0,6110.030000000001,0.0,24440.120000000003,,Online,bangalore,2702.93,
2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,13667.04276,,Online,mumbai,-1076.66,
2090,Kids,Lifestyle,Dunk Low,8,0.0,6110.030000000001,0.0,0.0,,Retail,bangalore,163.15,
2091,Kids,Running,Air Zoom,11,0.0,9246.88,0.0,0.0,,Retail,mumbai,1917.55,
2092,Kids,Basketball,Zoom Freak,XL,2.0,6110.030000000001,1.13,12081.973322000002,,Online,delhi,207.2,
2093,Men,Running,Free RN,XL,0.0,6110.030000000001,0.29,0.0,,Online,kolkata,-146.73,
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,0.0,4276.36,,Retail,delhi,2974.58,
2095,Men,Lifestyle,Waffle One,M,0.0,6110.030000000001,0.0,0.0,,Online,delhi,880.57,
2096,Men,Running,Pegasus Turbo,XL,2.0,6110.030000000001,0.0,12220.060000000001,,Online,kolkata,288.66,
2097,Women,Training,ZoomX Invincible,XL,0.0,7978.89,0.0,0.0,,Online,bangalore,769.05,
2098,Men,Training,ZoomX Invincible,L,0.0,5690.69,0.69,0.0,2024-01-24,Online,hyderbad,98.3,1.0
2099,Kids,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.32,12180.955808000002,,Retail,mumbai,360.97,
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.0,5937.52,2025-07-11,Retail,mumbai,2287.57,7.0
2101,Kids,Running,Free RN,XL,0.0,2010.07,0.0,0.0,,Online,hyderabad,3398.01,
2104,Men,Basketball,Kyrie Flytrap,,0.0,6110.030000000001,0.0,0.0,,Retail,delhi,2905.91,
2105,Kids,Training,Metcon 7,,2.0,5744.7,0.0,11489.4,,Retail,mumbai,1716.04,
2106,Women,Running,Free RN,,0.0,6110.030000000001,0.0,0.0,,Retail,bengaluru,76.95,
2107,Women,Running,React Infinity,M,4.0,6110.030000000001,0.0,24440.120000000003,,Online,hyd,-184.69,
2108,Kids,Lifestyle,Air Force 1,XL,0.0,6110.030000000001,0.27,0.0,,Retail,mumbai,-338.77,
2109,Kids,Basketball,Zoom Freak,M,0.0,6110.030000000001,0.0,0.0,,Retail,kolkata,3791.88,
2110,Kids,Running,Air Zoom,12,1.0,6110.030000000001,0.42,6084.3678740000005,2024-12-25,Retail,pune,-259.29,12.0
2111,Men,Lifestyle,Waffle One,,0.0,6110.030000000001,1.14,0.0,,Retail,bengaluru,1326.67,
2112,Women,Training,Metcon 7,,0.0,2201.54,0.0,0.0,,Retail,bengaluru,697.42,
2113,Women,Basketball,Air Jordan,XL,0.0,3939.34,0.0,0.0,2023-12-19,Retail,pune,2918.93,12.0
2114,Women,Training,Flex Trainer,XL,1.0,3167.33,0.53,3150.543151,,Retail,pune,1567.37,
2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,0.0,15214.9,,Online,kolkata,1969.03,
2116,Women,Basketball,LeBron 20,,0.0,4038.32,1.13,0.0,,Online,hyderabad,2088.55,
2117,Women,Training,SuperRep Go,L,0.0,7645.96,0.0,0.0,2024-10-30,Online,pune,2037.43,10.0
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.0,16853.08,2023-09-21,Online,hyderbad,2696.85,9.0
2120,Men,Soccer,Phantom GT,12,0.0,6110.030000000001,0.0,0.0,,Retail,pune,-328.0,
2122,Kids,Soccer,Mercurial Superfly,,0.0,6110.030000000001,0.0,0.0,,Retail,bengaluru,1078.48,
2123,Men,Running,Air Zoom,L,0.0,6110.030000000001,0.0,0.0,,Retail,hyd,2195.52,
2124,Kids,Basketball,Kyrie Flytrap,L,0.0,6436.11,1.24,0.0,,Online,kolkata,432.04,
2125,Women,Soccer,Tiempo Legend,M,0.0,6110.030000000001,0.0,0.0,,Retail,hyderabad,1051.22,
2128,Women,Basketball,LeBron 20,L,0.0,8750.71,0.0,0.0,,Retail,bangalore,1411.29,
2129,Men,Basketball,Zoom Freak,9,0.0,6110.030000000001,0.0,0.0,,Retail,delhi,841.4,
2130,Men,Soccer,Premier III,10,3.0,6110.030000000001,0.24,18286.097784000005,,Online,bengaluru,2962.75,
2131,Kids,Running,Free RN,XL,0.0,5561.82,0.0,0.0,,Retail,mumbai,2227.48,
2132,Men,Running,Free RN,L,2.0,6110.030000000001,0.0,12220.060000000001,,Online,delhi,3882.22,
2133,Men,Training,Metcon 7,XL,0.0,6789.53,0.0,0.0,,Retail,pune,-166.81,
2134,Men,Training,ZoomX Invincible,M,0.0,4738.62,0.0,0.0,,Online,hyderabad,1009.28,
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,18078.442172000003,2024-11-03,Retail,hyderbad,2422.38,11.0
2136,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.0,6110.030000000001,2024-09-15,Online,pune,3672.24,9.0
2137,Men,Soccer,Phantom GT,,0.0,5222.02,0.95,0.0,,Online,delhi,1796.76,
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,0.0,16110.4,,Online,mumbai,1840.09,
2139,Women,Basketball,Air Jordan,M,0.0,6110.030000000001,0.0,0.0,,Retail,mumbai,-334.52,
2140,Men,Basketball,Zoom Freak,M,0.0,6765.74,0.0,0.0,,Online,bangalore,-875.45,
2141,Kids,Soccer,Tiempo Legend,,0.0,6110.030000000001,1.1,0.0,2023-11-22,Retail,kolkata,-1032.47,11.0
2142,Kids,Soccer,Mercurial Superfly,,0.0,6110.030000000001,0.0,0.0,2024-10-03,Retail,kolkata,-995.59,10.0
2144,Women,Lifestyle,Waffle One,,4.0,6110.030000000001,0.0,24440.120000000003,,Online,kolkata,2385.1,
2145,Men,Lifestyle,Blazer Mid,6,0.0,6110.030000000001,0.67,0.0,,Online,bangalore,1335.45,
2146,Kids,Basketball,Air Jordan,XL,0.0,6110.030000000001,1.12,0.0,,Retail,mumbai,-908.85,
2148,Men,Basketball,Kyrie Flytrap,,0.0,6110.030000000001,0.0,0.0,,Online,hyd,520.55,
2149,Women,Running,Pegasus Turbo,,0.0,6110.030000000001,0.0,0.0,,Online,kolkata,-595.69,
2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,6594.613184,,Online,bengaluru,3221.62,
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.0,22479.0,2025-05-27,Online,bengaluru,2000.85,5.0
2152,Women,Running,Free RN,8,0.0,6110.030000000001,0.0,0.0,,Online,bengaluru,3819.41,
2153,Men,Running,React Infinity,,0.0,6110.030000000001,0.09,0.0,,Retail,pune,1246.58,
2154,Kids,Lifestyle,Blazer Mid,XL,0.0,2963.16,0.0,0.0,2025-04-01,Online,bangalore,2381.85,4.0
2155,Men,Soccer,Phantom GT,,3.0,6110.030000000001,0.0,18330.090000000004,,Online,hyderbad,1475.15,
2156,Men,Soccer,Tiempo Legend,M,0.0,6110.030000000001,0.0,0.0,,Online,pune,-286.07,
2157,Kids,Soccer,Premier III,,1.0,6110.030000000001,0.0,6110.030000000001,,Online,delhi,-701.01,
2159,Women,Training,ZoomX Invincible,XL,2.0,3987.65,0.0,7975.3,,Retail,delhi,2781.72,
2160,Kids,Running,Air Zoom,XL,0.0,6110.030000000001,0.0,0.0,2025-03-01,Retail,mumbai,3744.91,3.0
2161,Kids,Lifestyle,Waffle One,M,0.0,5119.41,0.8,0.0,,Online,pune,1956.8,
2162,Men,Lifestyle,Blazer Mid,8,0.0,7662.11,0.0,0.0,,Online,mumbai,2398.55,
2163,Men,Lifestyle,Dunk Low,7,0.0,6110.030000000001,1.24,0.0,,Retail,hyderabad,3344.98,
2164,Women,Soccer,Mercurial Superfly,8,0.0,6110.030000000001,0.95,0.0,,Online,pune,-872.9,
2165,Kids,Training,SuperRep Go,L,4.0,4577.65,0.0,18310.6,,Retail,kolkata,2460.19,
2166,Women,Lifestyle,Air Force 1,M,0.0,7312.38,0.0,0.0,,Online,mumbai,3364.05,
2167,Men,Running,React Infinity,XL,3.0,3055.79,0.0,9167.369999999999,,Retail,mumbai,1259.58,
2168,Women,Running,Pegasus Turbo,,0.0,6110.030000000001,0.85,0.0,2024-08-01,Retail,kolkata,3011.49,8.0
2169,Kids,Training,Flex Trainer,,4.0,4046.05,0.01,16182.58158,,Retail,delhi,1057.58,
2170,Kids,Lifestyle,Air Force 1,M,0.0,6110.030000000001,0.0,0.0,,Online,kolkata,3218.82,
2022,Women,Lifestyle,Air Force 1,L,0.0,9378.52,1.06,0.0,2023-10-29,Retail,mumbai,128.92,10.0
2172,Women,Training,ZoomX Invincible,M,0.0,7988.99,1.2,0.0,,Online,bengaluru,-909.86,
2174,Women,Soccer,Phantom GT,L,0.0,3883.92,0.0,0.0,,Retail,pune,428.5,
2175,Women,Lifestyle,Blazer Mid,,0.0,6110.030000000001,1.16,0.0,,Online,pune,2457.78,
2176,Men,Soccer,Mercurial Superfly,,4.0,6110.030000000001,0.0,24440.120000000003,,Online,bengaluru,3908.28,
2177,Women,Lifestyle,Waffle One,XL,0.0,6110.030000000001,0.0,0.0,2025-06-27,Retail,mumbai,885.37,6.0
2178,Men,Running,Free RN,,1.0,6110.030000000001,0.0,6110.030000000001,,Retail,bangalore,-983.37,
2179,Women,Training,ZoomX Invincible,M,3.0,6110.030000000001,0.0,18330.090000000004,2024-01-26,Retail,pune,3135.92,1.0
2180,Women,Basketball,LeBron 20,XL,0.0,6110.030000000001,0.0,0.0,2024-05-15,Online,pune,2189.84,5.0
2181,Women,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.0,12220.060000000001,,Retail,delhi,419.58,
2182,Kids,Basketball,Zoom Freak,11,0.0,7214.55,0.0,0.0,,Online,mumbai,-662.77,
2183,Kids,Lifestyle,Waffle One,M,0.0,5389.56,0.0,0.0,,Online,pune,2927.93,
2184,Men,Soccer,Mercurial Superfly,XL,4.0,6110.030000000001,0.0,24440.120000000003,,Retail,hyderabad,1980.73,
2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,16730.464416,,Online,kolkata,-615.48,
2186,Men,Running,React Infinity,,0.0,6110.030000000001,0.0,0.0,,Retail,bangalore,540.83,
2187,Men,Running,React Infinity,L,0.0,7795.32,0.0,0.0,,Online,mumbai,2402.99,
2189,Men,Training,SuperRep Go,L,3.0,6110.030000000001,0.9,18165.119190000005,,Online,hyd,3628.46,
2190,Kids,Basketball,Kyrie Flytrap,L,0.0,4280.01,0.66,0.0,,Online,delhi,1949.77,
2191,Men,Lifestyle,Air Force 1,8,3.0,6110.030000000001,0.0,18330.090000000004,,Retail,pune,-1032.88,
2194,Men,Soccer,Mercurial Superfly,M,0.0,6196.01,0.0,0.0,,Online,hyderbad,926.03,
2195,Women,Training,SuperRep Go,,0.0,6110.030000000001,0.51,0.0,,Online,delhi,1041.81,
2196,Kids,Soccer,Premier III,L,2.0,2708.73,0.0,5417.46,2025-06-30,Online,delhi,925.63,6.0
2197,Kids,Training,ZoomX Invincible,L,3.0,6110.030000000001,0.0,18330.090000000004,2024-10-06,Online,bengaluru,-418.5,10.0
2198,Men,Training,SuperRep Go,7,4.0,6110.030000000001,0.65,24281.259220000004,,Online,pune,-169.33,
2199,Men,Soccer,Premier III,M,1.0,6110.030000000001,0.0,6110.030000000001,,Retail,kolkata,389.94,
2200,Men,Basketball,Air Jordan,9,3.0,5570.72,0.0,16712.16,,Online,delhi,1513.76,
2201,Women,Training,SuperRep Go,11,0.0,6110.030000000001,0.0,0.0,2024-05-10,Online,mumbai,1403.56,5.0
2203,Men,Lifestyle,Air Force 1,M,0.0,6903.22,0.0,0.0,,Online,pune,1556.95,
2204,Men,Basketball,LeBron 20,7,0.0,7660.41,0.0,0.0,,Online,delhi,2076.75,
2205,Women,Running,React Infinity,XL,0.0,6110.030000000001,0.0,0.0,,Retail,pune,-467.52,
2206,Men,Training,Flex Trainer,M,2.0,6110.030000000001,0.0,12220.060000000001,,Online,delhi,-524.85,
2207,Women,Running,Pegasus Turbo,XL,0.0,6110.030000000001,0.0,0.0,,Online,hyderabad,2101.41,
2208,Women,Basketball,LeBron 20,M,0.0,5172.62,0.97,0.0,,Retail,hyderbad,-1074.04,
2209,Kids,Training,SuperRep Go,,0.0,6110.030000000001,0.0,0.0,,Retail,hyd,1956.7,
2210,Men,Lifestyle,Blazer Mid,XL,0.0,6110.030000000001,0.0,0.0,,Retail,kolkata,701.02,
2000,Kids,Training,Metcon 7,,4.0,6110.030000000001,0.94,24210.382872000002,2024-02-27,Retail,bengaluru,2372.82,2.0
2212,Women,Lifestyle,Blazer Mid,L,0.0,7670.82,0.0,0.0,,Online,kolkata,-87.95,
2213,Women,Running,Air Zoom,9,0.0,5714.92,0.0,0.0,,Online,delhi,3741.14,
2214,Men,Basketball,LeBron 20,XL,2.0,5016.03,0.0,10032.06,,Retail,mumbai,1446.0,
2215,Men,Basketball,Zoom Freak,XL,3.0,6110.030000000001,0.36,18264.101676000002,,Online,kolkata,3254.06,
2216,Women,Lifestyle,Air Force 1,M,1.0,3111.62,0.0,3111.62,,Online,hyd,2617.56,
2217,Women,Lifestyle,Waffle One,L,0.0,6110.030000000001,0.0,0.0,,Retail,delhi,2190.84,
2218,Kids,Soccer,Premier III,6,2.0,6110.030000000001,0.0,12220.060000000001,,Online,bangalore,1440.02,
2220,Kids,Training,SuperRep Go,M,0.0,6110.030000000001,0.0,0.0,,Online,kolkata,890.14,
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,0.0,6751.94,2024-01-06,Retail,mumbai,-297.05,1.0
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,17774.806182,2024-12-21,Retail,mumbai,2821.69,12.0
2225,Kids,Basketball,Kyrie Flytrap,11,0.0,6110.030000000001,0.0,0.0,,Retail,hyd,1136.63,
2226,Women,Basketball,Zoom Freak,,0.0,6110.030000000001,0.31,0.0,,Online,delhi,-131.04,
2021,Men,Running,React Infinity,XL,0.0,2180.71,0.82,0.0,,Retail,hyd,2277.63,
2228,Kids,Basketball,Zoom Freak,,0.0,9382.15,0.0,0.0,,Online,kolkata,-127.34,
2229,Men,Running,Air Zoom,XL,0.0,7143.23,0.0,0.0,,Retail,mumbai,3284.36,
2230,Kids,Lifestyle,Dunk Low,10,0.0,6110.030000000001,0.0,0.0,,Online,bengaluru,781.56,
2231,Kids,Training,Flex Trainer,9,0.0,6110.030000000001,1.05,0.0,2025-01-04,Online,bengaluru,-39.48,1.0
2232,Women,Running,Free RN,XL,0.0,2149.28,0.32,0.0,,Online,kolkata,2409.87,
2233,Men,Lifestyle,Air Force 1,XL,0.0,6110.030000000001,0.0,0.0,,Online,kolkata,2398.07,
2234,Men,Training,Flex Trainer,,4.0,6189.1,1.12,24479.128320000003,2024-12-21,Retail,bengaluru,2085.62,12.0
2042,Men,Basketball,Kyrie Flytrap,10,1.0,5254.47,0.0,5254.47,,Retail,bengaluru,2459.63,
2236,Men,Soccer,Mercurial Superfly,M,0.0,6110.030000000001,0.0,0.0,,Online,delhi,880.62,
2237,Kids,Training,Metcon 7,M,0.0,5089.88,0.0,0.0,,Online,mumbai,-238.18,
2238,Kids,Training,SuperRep Go,,3.0,4348.86,0.0,13046.579999999998,,Online,delhi,662.02,
2239,Men,Training,SuperRep Go,XL,0.0,6110.030000000001,0.0,0.0,,Online,kolkata,1750.71,
2240,Kids,Basketball,Air Jordan,M,0.0,9520.5,0.48,0.0,,Retail,kolkata,-928.85,
2241,Women,Soccer,Tiempo Legend,12,0.0,9662.04,0.0,0.0,,Online,hyderbad,-233.74,
2243,Men,Lifestyle,Blazer Mid,L,0.0,9747.58,0.0,0.0,,Retail,delhi,266.31,
2244,Kids,Training,Metcon 7,L,2.0,6110.030000000001,0.0,12220.060000000001,,Online,delhi,1904.11,
2245,Kids,Running,React Infinity,,0.0,4128.35,0.0,0.0,,Online,pune,-290.33,
2247,Women,Training,Metcon 7,,0.0,6110.030000000001,0.0,0.0,,Online,mumbai,-1158.15,
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,32920.640384,2024-01-16,Online,bengaluru,1625.14,1.0
2249,Men,Training,Flex Trainer,M,0.0,7730.77,0.0,0.0,2024-05-28,Online,delhi,-692.94,5.0
2250,Men,Basketball,Kyrie Flytrap,XL,0.0,6110.030000000001,0.0,0.0,2024-10-01,Retail,pune,821.13,10.0
2046,Men,Basketball,Air Jordan,,2.0,9593.65,0.0,19187.3,,Online,hyderbad,1592.5,
2252,Women,Running,Free RN,L,0.0,6110.030000000001,0.0,0.0,,Retail,delhi,934.87,
2253,Men,Training,Flex Trainer,M,0.0,6110.030000000001,0.0,0.0,,Online,bengaluru,1516.72,
2254,Women,Basketball,LeBron 20,M,0.0,6110.030000000001,0.89,0.0,,Online,hyd,1642.0,
2255,Kids,Basketball,LeBron 20,XL,0.0,2222.55,0.84,0.0,,Retail,mumbai,586.56,
2256,Men,Soccer,Phantom GT,,0.0,6110.030000000001,0.0,0.0,,Online,hyderbad,3175.83,
2257,Men,Basketball,Kyrie Flytrap,XL,1.0,6110.030000000001,0.0,6110.030000000001,,Online,mumbai,-365.42,
2258,Women,Lifestyle,Dunk Low,L,0.0,6110.030000000001,0.39,0.0,2023-11-21,Online,mumbai,2824.7,11.0
2259,Women,Soccer,Mercurial Superfly,M,0.0,6110.030000000001,0.0,0.0,,Retail,delhi,2323.89,
2260,Women,Lifestyle,Dunk Low,M,2.0,6110.030000000001,0.0,12220.060000000001,,Retail,pune,-352.18,
2261,Women,Training,ZoomX Invincible,,0.0,2503.6,0.54,0.0,,Retail,pune,1574.74,
2262,Women,Running,Pegasus Turbo,L,0.0,6110.030000000001,0.0,0.0,2024-09-15,Retail,pune,3146.93,9.0
2263,Women,Soccer,Premier III,M,0.0,5172.14,0.0,0.0,,Online,kolkata,2510.55,
2264,Men,Training,ZoomX Invincible,,4.0,5622.32,1.08,22246.395775999998,2024-04-22,Retail,bengaluru,1248.25,4.0
2265,Women,Soccer,Premier III,7,0.0,2422.97,0.0,0.0,,Retail,delhi,-67.74,
2266,Women,Basketball,LeBron 20,L,0.0,6110.030000000001,0.0,0.0,,Retail,kolkata,3475.59,
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,0.0,21992.43,2023-11-16,Online,kolkata,518.71,11.0
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,0.0,25697.28,2024-07-14,Retail,mumbai,-405.26,7.0
2270,Men,Running,React Infinity,XL,1.0,6110.030000000001,1.03,6047.096691000001,,Retail,pune,3088.25,
2271,Kids,Lifestyle,Waffle One,9,0.0,5116.58,0.07,0.0,2024-05-03,Retail,delhi,1293.94,5.0
2038,Women,Training,ZoomX Invincible,XL,1.0,7338.57,0.0,7338.57,,Retail,delhi,3680.24,
2274,Women,Training,Metcon 7,6,4.0,6110.030000000001,0.45,24330.139460000002,,Online,bengaluru,2561.89,
2277,Kids,Basketball,LeBron 20,M,0.0,3682.84,0.0,0.0,,Online,hyderbad,3967.77,
